CNTSTUID,gender,female,grade,computer,software,internet,desk,own.room,quiet.study,lit,poetry,art,book.sch,tech.book,dict,art.book,ST011Q05TA,ST071Q02NA,ST071Q01NA,ST123Q02NA,ST082Q01NA,ST119Q01NA,ST119Q05NA,ANXTEST,COOPERATE,BELONG,EMOSUPS,WEALTH,PARED,TMINS,ESCS,TEACHSUP,TDTEACH,IBTEACH,SCIEEFF,math,reading,science
79201080,Female,1,Grade 10,1,1,1,1,1,1,1,0,0,1,0,1,0,Yes,2,4,Strongly agree,Strongly agree,Agree,Strongly agree,1.2957,1.5899,-1.0402,-0.2495,-1.9229,12,1200,-1.5796,0.7131,0.4423,0.8898,0.13,426.412,440.5184,446.2804
79202588,Female,1,Grade 10,1,0,1,1,1,1,1,1,1,1,1,1,1,No,6,7,Agree,Strongly disagree,Strongly agree,Strongly agree,2.5493,-0.8946,1.5611,-0.4916,-0.6246,12,1600,0.0462,-0.4207,0.2564,0.7714,-0.9841,442.7359,535.5716,453.1675
79201351,Female,1,Grade 10,1,1,1,1,1,1,1,1,1,1,1,1,1,Yes,5,3,Strongly agree,Disagree,Strongly agree,Strongly agree,0.7993,1.4116,2.5915,1.0991,-0.8149,16,1600,0.6944,-0.6568,-0.2836,0.4196,1.4831,487.7235,514.4008,448.4854
79200502,Female,1,Grade 10,1,1,1,1,1,1,1,1,0,1,0,1,0,Yes,7,6,Strongly agree,Disagree,Strongly agree,Strongly agree,0.0647,-0.2882,-1.8419,-0.2495,-1.688,12,1600,-1.9724,-0.2776,-0.6102,-0.5812,1.87,504.0571,486.5803,516.5445
79206148,Female,1,Grade 10,1,0,0,1,1,1,1,1,1,1,0,1,1,No,1,1,Strongly agree,Disagree,Strongly agree,Agree,1.1199,0.8242,-1.4115,-0.2495,-2.5354,16,1600,-0.4703,-0.1164,-0.2836,-0.1533,0.3155,434.3614,480.5702,466.7221
79203854,Female,1,Grade 10,0,0,1,0,0,0,1,1,0,1,0,1,0,No,6,7,Strongly agree,Strongly disagree,Agree,Disagree,0.1441,0.395,-0.5152,-0.3289,-1.8137,8,1600,-2.1532,0.466,1.1091,0.9162,-0.7499,514.9084,529.5183,522.5012
79205649,Female,1,Grade 10,1,1,1,1,0,1,1,1,0,1,1,1,1,Yes,1,3,Agree,Disagree,Disagree,Strongly disagree,-1.9346,-0.2882,0.6642,-1.5692,-0.7296,16,1600,0.492,-1.0718,-0.6102,-0.4808,1.2395,542.8484,535.8814,533.6394
79201975,Female,1,Grade 10,1,1,1,1,1,1,1,1,NA,1,1,1,1,Yes,6,7,Strongly agree,Agree,Strongly agree,Agree,0.5209,-1.4719,-0.3381,1.0991,0.3977,14,1200,0.1701,1.4475,-0.3597,0.9452,0.3155,373.6683,370.5748,372.5167
79200515,Female,1,Grade 10,1,1,1,1,1,1,1,1,NA,1,1,1,1,Yes,9,8,Strongly agree,Agree,Strongly disagree,Strongly disagree,0.2092,-0.2882,-0.3381,0.1711,-0.3217,16,1600,0.7239,-0.1164,0.0532,0.6436,0.5125,419.0413,436.4218,356.1291
79203582,Female,1,Grade 10,1,NA,1,1,1,1,1,NA,NA,NA,NA,1,NA,NA,2,2,Strongly agree,Agree,Strongly disagree,Agree,0.2594,-0.9705,-0.4838,-0.0985,-1.1262,8,1600,-1.5222,0.5503,0.4505,-1.0914,0.2882,424.6145,454.1567,465.3764
79200823,Female,1,Grade 10,1,0,1,1,1,0,1,1,1,1,1,1,1,No,NA,NA,Strongly agree,Strongly disagree,Agree,Disagree,0.1343,-0.397,-1.6425,-0.0985,-0.1761,16,1600,1.0044,0.7297,0.4505,0.625,0.7261,499.9791,513.9463,565.1709
79204023,Female,1,Grade 10,1,0,1,1,1,1,0,0,0,1,0,1,0,No,2,2,Strongly agree,Strongly agree,Strongly agree,Strongly agree,0.0921,-1.1204,-0.598,0.1711,-1.2714,8,1600,-2.1213,-0.0711,-0.4473,0.5318,0.3155,420.3286,444.6519,413.4734
79202894,Female,1,Grade 10,0,0,0,1,1,1,0,0,0,1,0,1,0,No,11,2,Agree,Disagree,Strongly agree,Strongly agree,0.5209,-0.9124,-0.7657,-0.889,-1.7301,12,1600,-1.5452,-0.9096,0.4423,-0.7529,-0.5823,530.6668,484.1586,491.4598
79202138,Female,1,Grade 10,1,1,1,1,1,1,1,0,1,NA,1,1,1,Yes,1,0,Strongly agree,Agree,Strongly agree,Agree,-0.0836,-1.4606,-0.6837,0.1711,-0.0504,12,1600,-1.0918,-2.0757,-1.0547,-3.3405,1.8593,504.8285,457.135,479.9001
79200267,Female,1,Grade 10,0,0,0,1,1,1,0,0,0,1,1,1,1,No,7,3,Agree,Disagree,Agree,Agree,0.5209,-0.7876,-0.8731,-1.6812,-1.5806,12,1600,-1.2877,-0.2618,-0.3597,-0.6683,0.3155,440.1465,495.8135,457.8561
79203619,Female,1,Grade 10,1,0,1,1,1,1,1,1,0,1,0,1,0,No,3,2,Agree,Disagree,Strongly agree,Strongly agree,1.1338,-0.6455,-0.3381,-0.4263,-1.2999,16,1600,0.266,0.3574,0.658,0.7049,0.3095,470.8412,519.7991,464.4676
79205631,Male,0,Grade 10,1,0,1,1,1,1,1,1,0,1,0,1,1,No,3,3,Strongly agree,Agree,Strongly agree,Strongly agree,0.5209,-0.2882,-0.3381,0.1711,-0.3762,12,1600,-1.2016,-0.1164,0.0615,-0.3039,-0.6969,514.3678,506.0991,526.8393
79201401,Male,0,Grade 10,1,0,0,1,1,1,1,1,1,1,1,1,0,No,6,7,Strongly agree,Strongly agree,Strongly agree,Strongly agree,0.3997,2.2879,-0.9751,1.0991,-1.8106,12,1600,-1.5194,1.4475,-2.4476,1.3376,-0.4695,444.4461,433.6541,426.0223
79204836,Male,0,Grade 10,0,0,0,1,1,1,0,1,1,0,1,1,1,No,2,2,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,0.206,0.4252,-1.4115,-0.2495,-2.4497,14,1600,-1.1863,0.4871,0.4587,1.4288,0.3155,491.4312,488.463,501.0121
79205799,Male,0,Grade 10,1,0,0,1,1,1,1,0,1,1,0,1,1,No,6,5,Agree,Disagree,Agree,Agree,0.5209,-0.2882,-1.8419,-0.889,-1.6386,16,1600,0.1856,1.4475,0.2564,0.1291,3.2775,485.5515,532.0775,525.7171
79206380,Male,0,Grade 10,1,0,1,1,1,1,0,0,0,1,0,1,1,No,1,1,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,-0.8783,-0.1051,2.5915,1.0991,-0.784,12,1600,-0.5758,1.4475,2.0781,3.1829,3.2775,526.9327,491.9061,490.4061
79200900,Male,0,Grade 10,1,1,1,1,1,1,1,1,1,1,1,1,0,Yes,4,6,Strongly agree,Disagree,Strongly agree,Strongly disagree,-0.9464,-0.5453,-0.0621,-0.2495,-0.9916,8,1600,-1.3117,-0.852,-0.5262,-0.7753,0.5471,529.9964,524.3389,498.6846
79202479,Male,0,Grade 10,1,1,1,1,1,1,1,1,1,1,1,1,1,Yes,8,5,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,0.2694,0.8242,2.5915,0.5658,-0.5784,12,1600,-0.844,-0.3666,-0.5262,0.2987,0.3531,519.9438,506.7084,519.841
79205503,Male,0,Grade 10,0,1,1,1,1,1,0,0,0,1,0,1,0,Yes,6,6,NA,Disagree,Strongly agree,Strongly agree,0.5209,-0.2882,-0.4041,0.471,-1.1121,14,1600,-0.1873,0.5683,-0.3597,0.9314,0.925,529.5591,510.5819,500.0902
79206510,Male,0,Grade 10,0,0,0,1,1,1,1,1,0,1,0,1,0,No,6,6,Strongly agree,Disagree,Agree,Agree,2.5493,0.6615,-1.4513,0.4662,-2.7534,16,1600,-0.2564,-0.6568,-0.6102,0.6457,-0.889,379.2915,391.7572,381.6272
79205175,Male,0,Grade 10,1,1,1,1,1,1,0,1,0,1,1,1,1,Yes,3,1,Disagree,Disagree,Strongly agree,Strongly agree,1.0746,-0.2882,0.3171,-1.6144,-1.0228,16,1800,0.309,1.4475,0.8729,0.3312,0.5023,528.7505,505.1566,515.7449
79203600,Male,0,Grade 10,1,0,1,1,1,1,0,0,0,1,1,1,0,No,7,4,Agree,Strongly agree,Agree,Strongly disagree,0.1837,0.0647,0.0573,-0.889,-0.5866,14,1400,-0.4224,-0.1164,-1.1094,1.1344,-3.7565,509.5483,511.8962,474.8509
79206174,Male,0,Grade 10,1,NA,1,1,1,1,NA,NA,NA,1,NA,1,NA,NA,10,9,Agree,Disagree,Agree,Agree,-2.505,-0.2882,-0.3381,-0.889,-0.7183,14,1800,0.0817,0.4124,-0.0117,1.6685,3.2775,440.7121,431.7061,440.063
79206982,Male,0,Grade 10,0,1,0,1,0,1,1,1,1,1,1,1,1,Yes,6,7,Disagree,Disagree,Strongly agree,Agree,0.3997,-1.0775,-0.7104,-1.6939,-1.9577,16,1600,-1.0879,1.4475,0.4505,0.9527,0.3155,429.9414,401.1233,452.0924
79205196,Male,0,Grade 10,1,0,1,1,1,0,0,1,0,1,1,1,0,No,4,7,Strongly agree,Disagree,Strongly agree,Strongly agree,0.0274,-0.2882,-0.873,0.5658,-1.2857,14,1600,-1.2425,0.9209,0.0532,1.0652,0.3155,506.6904,482.9509,501.4209
79202660,Male,0,Grade 10,1,1,1,1,1,1,1,1,0,1,1,1,1,Yes,7,7,Strongly agree,Agree,Strongly agree,Strongly agree,0.5209,-0.2882,1.398,1.0991,-1.1167,14,1600,-0.8435,-0.1164,-0.5291,-0.2795,-1.0524,460.086,469.2475,441.3735
79203782,Male,0,Grade 10,1,1,1,1,1,1,1,1,1,1,1,1,1,Yes,6,6,Strongly agree,Agree,Strongly agree,Strongly agree,-0.308,1.4116,0.2283,0.5658,-0.4454,16,1600,0.5811,-0.2618,-0.6102,-0.0897,0.7705,475.457,481.7747,498.9837
79203855,Male,0,Grade 10,1,1,1,1,1,1,1,1,0,1,1,1,0,Yes,0,2,Agree,Agree,Agree,Disagree,1.1338,-0.9124,-0.8616,-1.3869,-0.4861,16,1600,0.1499,-0.6536,-0.2213,0.1659,0.341,563.5588,553.1223,562.3057
79203964,Female,1,Grade 11,1,0,1,1,1,1,1,1,0,1,0,1,0,No,7,7,Strongly agree,Strongly agree,Strongly agree,Agree,0.3265,0.395,0.6642,0.5658,-0.1731,16,1600,0.6219,0.6375,0.0532,-0.7035,-1.5329,483.5979,536.3728,488.7762
79203117,Female,1,Grade 9,1,0,1,1,0,1,0,1,0,1,0,1,1,No,1,1,Strongly agree,Disagree,Agree,Strongly agree,-0.308,-0.9705,-1.5982,-0.7362,-1.1091,8,600,-1.9464,-0.0239,0.199,0.3033,-0.0314,353.5731,393.112,370.5904
