gender,grade,computer,internet,desk,own.room,quiet.study,book.sch,tech.book,art.book,reading
Female,Grade 9,NA,1,1,1,NA,NA,NA,NA,357.094
Female,Grade 9,1,1,1,1,1,1,0,1,382.589
Female,Grade 9,1,0,1,NA,0,1,1,1,407.5487
Female,Grade 9,1,0,1,0,1,0,1,0,313.9118
Male,Grade 9,NA,1,NA,NA,1,NA,NA,NA,435.653
Male,Grade 9,1,1,1,1,1,1,1,0,332.1611
Male,Grade 9,0,0,1,1,1,0,0,0,328.7372
Male,Grade 9,1,0,1,0,1,1,0,0,460.4673
Male,Grade 9,1,0,1,1,1,1,0,0,390.944
Female,Grade 10,1,1,1,1,1,1,0,0,477.4795
Female,Grade 10,1,0,1,1,1,1,0,0,357.7815
Female,Grade 10,1,1,1,0,1,1,1,0,455.3329
Female,Grade 10,1,1,1,1,1,1,1,0,447.8358
Female,Grade 10,1,1,0,0,1,1,0,0,446.5285
Female,Grade 10,1,1,1,1,1,1,1,1,456.4909
Female,Grade 10,1,1,1,1,1,1,1,1,425.7441
Female,Grade 10,1,0,1,1,1,1,0,0,468.2836
Female,Grade 10,1,1,1,1,1,1,0,0,431.1181
Female,Grade 10,1,0,1,1,1,1,0,0,445.342
Female,Grade 10,1,1,1,1,1,1,1,1,491.3383
Female,Grade 10,1,1,1,1,1,1,1,1,424.2141
Female,Grade 10,0,0,1,1,1,1,0,1,436.8385
Female,Grade 10,0,0,1,0,1,1,1,0,443.2668
Female,Grade 10,0,0,1,1,1,1,0,0,425.2185
Male,Grade 10,0,0,0,0,1,1,0,0,422.9668
Male,Grade 10,1,1,1,1,1,1,0,0,386.172
Male,Grade 10,1,1,1,1,1,1,0,0,457.9064
Male,Grade 10,1,0,1,1,1,1,0,0,489.6986
Male,Grade 10,1,1,1,1,1,1,1,1,480.34
Male,Grade 10,1,1,1,1,1,1,0,0,478.0001
Male,Grade 10,0,0,1,0,0,0,0,0,371.7788
Male,Grade 10,0,0,1,1,NA,1,0,0,470.1942
Male,Grade 10,1,0,1,1,1,1,0,0,429.0915
Male,Grade 10,1,1,1,1,1,1,1,0,413.8032
Male,Grade 10,1,1,1,1,1,1,1,1,442.459
Female,Grade 11,1,1,1,1,1,1,0,0,539.7235
Female,Grade 9,0,0,1,0,1,1,0,0,452.957
Female,Grade 9,1,1,1,1,1,1,1,0,546.1888
Male,Grade 9,1,1,1,0,1,1,0,0,539.6052
Male,Grade 9,0,0,1,0,1,1,0,0,378.9681
Male,Grade 9,1,1,1,0,1,1,1,0,525.3126
Female,Grade 10,1,1,1,1,1,1,1,1,433.2507
Female,Grade 10,1,1,1,1,1,1,1,1,543.8251
Female,Grade 10,1,1,1,1,0,1,1,1,475.9766
Female,Grade 10,1,1,1,1,0,1,1,1,524.0143
Female,Grade 10,1,1,1,1,1,1,1,1,542.1569
Female,Grade 10,1,1,1,1,0,0,1,0,464.5742
Female,Grade 10,1,1,1,1,1,1,0,1,488.1989
Female,Grade 10,1,1,1,1,1,1,1,1,551.1057
Female,Grade 10,1,1,1,0,1,0,0,0,547.5442
Female,Grade 10,1,1,1,1,1,1,1,1,516.4674
Female,Grade 10,1,1,1,1,1,1,1,0,484.7992
Female,Grade 10,1,1,1,1,1,1,1,1,491.1948
Female,Grade 10,1,1,1,1,1,1,1,1,547.382
Female,Grade 10,1,1,1,1,NA,1,0,1,583.4083
Female,Grade 10,1,1,1,1,1,1,0,1,448.836
Male,Grade 10,1,1,1,1,1,1,1,0,433.0154
Male,Grade 10,1,1,1,1,1,0,0,0,466.225
Male,Grade 10,1,1,1,1,1,1,1,1,474.5191
Male,Grade 10,1,1,1,1,1,1,1,0,421.5665
Male,Grade 10,1,1,1,1,1,1,1,1,550.2981
Male,Grade 10,1,1,1,1,1,1,1,1,488.507
Male,Grade 10,1,1,1,1,1,1,0,1,495.9482
Male,Grade 10,1,1,1,0,1,1,0,0,497.9184
Male,Grade 10,1,1,1,1,1,1,0,0,417.8019
Male,Grade 10,0,0,1,1,1,1,1,0,498.1237
Male,Grade 10,1,1,1,1,1,1,1,NA,413.7017
Male,Grade 10,1,1,1,1,1,1,0,0,429.0797
Male,Grade 10,1,1,1,1,1,1,1,1,482.0556
Male,Grade 10,1,1,1,1,1,1,1,0,550.4754
Male,Grade 10,1,1,1,1,1,1,1,1,554.3157
Male,Grade 10,1,1,1,1,1,1,1,1,478.3751
Male,Grade 10,1,0,1,1,1,1,0,0,503.9096
Female,Grade 11,0,0,1,1,1,1,0,0,463.6607
Female,Grade 11,0,0,1,0,1,1,0,1,502.9686
Male,Grade 11,1,1,1,1,1,1,1,0,495.7801
Female,Grade 9,0,1,1,NA,1,1,0,0,356.6851
Female,Grade 9,0,0,1,0,0,0,0,0,320.0626
Female,Grade 9,1,1,1,1,1,1,1,1,479.283
Female,Grade 9,0,0,1,1,1,0,0,0,403.272
Female,Grade 9,0,0,1,0,0,1,NA,1,338.6345
Female,Grade 10,0,0,0,0,1,1,0,0,507.502
Female,Grade 10,1,1,1,0,1,1,1,1,404.3001
Female,Grade 10,0,0,0,0,1,0,0,0,357.0304
Female,Grade 10,0,0,1,0,0,0,0,0,388.4971
Female,Grade 10,0,0,1,0,0,0,0,0,403.8065
Female,Grade 10,0,0,1,1,1,1,0,0,388.6222
Female,Grade 10,0,0,1,1,1,1,0,0,396.6211
Female,Grade 10,1,1,1,1,1,1,0,1,421.0663
Female,Grade 10,0,0,0,0,1,0,0,0,441.3781
Female,Grade 10,1,1,1,1,0,1,0,1,407.2385
Female,Grade 10,0,0,1,0,1,1,0,0,364.1587
Female,Grade 10,0,0,1,1,1,1,0,1,397.0031
Female,Grade 10,0,0,1,0,0,1,0,0,387.7725
Female,Grade 10,0,0,0,0,0,0,0,0,475.0698
Female,Grade 10,0,0,1,1,1,1,0,1,465.097
Female,Grade 10,0,1,1,1,1,1,0,0,343.2539
Female,Grade 10,0,NA,1,1,1,1,NA,NA,326.76
Female,Grade 10,0,1,0,0,0,1,0,0,382.1426
Female,Grade 10,0,0,0,0,1,1,0,0,407.5594
Female,Grade 10,0,0,1,0,0,1,0,0,471.9143
Female,Grade 10,1,0,1,0,1,1,0,0,443.0507
